 Destination Port, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Mean,Bwd Packet Length Max, Bwd Packet Length Mean, Fwd Header Length, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Bytes, Subflow Bwd Bytes,Init_Win_bytes_forward
53035,3664,1454,523.4285714285714,242,134,80.66666666666667,998.8571428571429,6992,390.6,469.42857142857144,26.666666666666668,3664,242,163
51967,322,322,322.0,54,54,54.0,596.0,596,188.0,268.0,0.0,322,54,163
53033,54,54,54.0,0,0,0,60.0,60,54.0,0.0,0,54,0,0
80,430,136,71.66666666666667,445,205,89.0,95.33333333333333,572,79.54545454545455,13.666666666666666,30.2,430,445,64240
443,772,421,386.0,0,0,0,724.0,1448,386.0,332.0,0,772,0,511
443,346,346,346.0,0,0,0,644.0,644,346.0,292.0,0,346,0,512
53035,3664,1454,523.4285714285714,242,134,80.66666666666667,998.8571428571429,6992,390.6,469.42857142857144,26.666666666666668,3664,242,163
51967,322,322,322.0,54,54,54.0,596.0,596,188.0,268.0,0.0,322,54,163
53033,54,54,54.0,0,0,0,60.0,60,54.0,0.0,0,54,0,0
80,430,136,71.66666666666667,445,205,89.0,95.33333333333333,572,79.54545454545455,13.666666666666666,30.2,430,445,64240
443,826,421,275.3333333333333,1273,1165,424.3333333333333,502.6666666666667,1508,349.8333333333333,221.33333333333334,370.3333333333333,826,1273,511
443,400,346,200.0,430,376,215.0,352.0,704,207.5,146.0,161.0,400,430,512
53035,3664,1454,523.4285714285714,242,134,80.66666666666667,998.8571428571429,6992,390.6,469.42857142857144,26.666666666666668,3664,242,163
51967,322,322,322.0,54,54,54.0,596.0,596,188.0,268.0,0.0,322,54,163
53033,54,54,54.0,0,0,0,60.0,60,54.0,0.0,0,54,0,0
80,430,136,71.66666666666667,445,205,89.0,95.33333333333333,572,79.54545454545455,13.666666666666666,30.2,430,445,64240
443,826,421,275.3333333333333,1273,1165,424.3333333333333,502.6666666666667,1508,349.8333333333333,221.33333333333334,370.3333333333333,826,1273,511
443,400,346,200.0,430,376,215.0,352.0,704,207.5,146.0,161.0,400,430,512
53035,3664,1454,523.4285714285714,242,134,80.66666666666667,998.8571428571429,6992,390.6,469.42857142857144,26.666666666666668,3664,242,163
51967,322,322,322.0,54,54,54.0,596.0,596,188.0,268.0,0.0,322,54,163
53033,54,54,54.0,0,0,0,60.0,60,54.0,0.0,0,54,0,0
80,430,136,71.66666666666667,445,205,89.0,95.33333333333333,572,79.54545454545455,13.666666666666666,30.2,430,445,64240
443,826,421,275.3333333333333,1273,1165,424.3333333333333,502.6666666666667,1508,349.8333333333333,221.33333333333334,370.3333333333333,826,1273,511
443,400,346,200.0,430,376,215.0,352.0,704,207.5,146.0,161.0,400,430,512
53035,3664,1454,523.4285714285714,242,134,80.66666666666667,998.8571428571429,6992,390.6,469.42857142857144,26.666666666666668,3664,242,163
51967,322,322,322.0,54,54,54.0,596.0,596,188.0,268.0,0.0,322,54,163
53033,54,54,54.0,0,0,0,60.0,60,54.0,0.0,0,54,0,0
80,430,136,71.66666666666667,445,205,89.0,95.33333333333333,572,79.54545454545455,13.666666666666666,30.2,430,445,64240
443,826,421,275.3333333333333,1273,1165,424.3333333333333,502.6666666666667,1508,349.8333333333333,221.33333333333334,370.3333333333333,826,1273,511
443,400,346,200.0,430,376,215.0,352.0,704,207.5,146.0,161.0,400,430,512
53035,3664,1454,523.4285714285714,242,134,80.66666666666667,998.8571428571429,6992,390.6,469.42857142857144,26.666666666666668,3664,242,163
51967,322,322,322.0,54,54,54.0,596.0,596,188.0,268.0,0.0,322,54,163
53033,54,54,54.0,0,0,0,60.0,60,54.0,0.0,0,54,0,0
80,430,136,71.66666666666667,445,205,89.0,95.33333333333333,572,79.54545454545455,13.666666666666666,30.2,430,445,64240
443,826,421,275.3333333333333,1273,1165,424.3333333333333,502.6666666666667,1508,349.8333333333333,221.33333333333334,370.3333333333333,826,1273,511
443,400,346,200.0,430,376,215.0,352.0,704,207.5,146.0,161.0,400,430,512
53035,3664,1454,523.4285714285714,242,134,80.66666666666667,998.8571428571429,6992,390.6,469.42857142857144,26.666666666666668,3664,242,163
51967,322,322,322.0,54,54,54.0,596.0,596,188.0,268.0,0.0,322,54,163
53033,54,54,54.0,0,0,0,60.0,60,54.0,0.0,0,54,0,0
80,430,136,71.66666666666667,445,205,89.0,95.33333333333333,572,79.54545454545455,13.666666666666666,30.2,430,445,64240
443,826,421,275.3333333333333,1273,1165,424.3333333333333,502.6666666666667,1508,349.8333333333333,221.33333333333334,370.3333333333333,826,1273,511
443,400,346,200.0,430,376,215.0,352.0,704,207.5,146.0,161.0,400,430,512
