 Destination Port, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Mean,Bwd Packet Length Max, Bwd Packet Length Mean, Fwd Header Length, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Bytes, Subflow Bwd Bytes,Init_Win_bytes_forward
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,510
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,510
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,510
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,510
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,510
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,510
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,510
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,510
443,55,55,55.0,0,0,0,62.0,62,55.0,1.0,0,55,0,511
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,510
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,511
443,66,66,66.0,0,0,0,84.0,84,66.0,0.0,0,66,0,64240
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,510
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,511
443,3322,1454,221.46666666666667,15190,1454,759.5,394.93333333333334,5924,528.9142857142857,166.66666666666666,704.9,3322,15190,64240
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,514
443,108,54,54.0,54,54,54.0,60.0,120,54.0,0.0,0.0,108,54,512
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,510
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,511
443,3322,1454,221.46666666666667,15244,1454,725.9047619047619,394.93333333333334,5924,515.7222222222222,166.66666666666666,671.3333333333334,3322,15244,64240
443,55,55,55.0,66,66,66.0,62.0,62,60.5,1.0,0.0,55,66,514
443,108,54,54.0,54,54,54.0,60.0,120,54.0,0.0,0.0,108,54,512
443,66,66,66.0,0,0,0,84.0,84,66.0,0.0,0,66,0,64240
20650,8652,1454,961.3333333333334,503,180,100.6,1874.6666666666667,16872,653.9285714285714,907.3333333333334,46.6,8652,503,501
